Date,Close,Min,Ave,Max
05/01/2018,11.24,5.978297872,8.869433407,12.46
12/01/2018,11.66,5.978297872,8.869433407,12.46
19/01/2018,12.76,5.978297872,8.869433407,12.46
26/01/2018,12.4,5.978297872,8.869433407,12.46
02/02/2018,11.82,5.978297872,8.869433407,12.46
09/02/2018,11.4,5.978297872,8.869433407,12.46
15/02/2018,11.46,5.978297872,8.869433407,12.46
23/02/2018,11.2,5.978297872,8.869433407,12.46
02/03/2018,11.54,5.978297872,8.869433407,12.46
09/03/2018,11.94,5.978297872,8.869433407,12.46
16/03/2018,11.76,5.978297872,8.869433407,12.46
23/03/2018,11.4,5.978297872,8.869433407,12.46
28/03/2018,11.56,5.978297872,8.869433407,12.46
06/04/2018,11.04,6.120638298,9.080610393,12.75666667
13/04/2018,10.96,6.120638298,9.080610393,12.75666667
20/04/2018,10.44,6.120638298,9.080610393,12.75666667
27/04/2018,10.7,6.120638298,9.080610393,12.75666667
04/05/2018,10.56,6.120638298,9.080610393,12.75666667
11/05/2018,10.88,6.120638298,9.080610393,12.75666667
18/05/2018,11.1,6.120638298,9.080610393,12.75666667
25/05/2018,10.8,6.120638298,9.080610393,12.75666667
01/06/2018,10.94,6.120638298,9.080610393,12.75666667
08/06/2018,10.6,6.120638298,9.080610393,12.75666667
14/06/2018,10.62,6.120638298,9.080610393,12.75666667
22/06/2018,9.9,6.120638298,9.080610393,12.75666667
29/06/2018,10.16,6.120638298,9.080610393,12.75666667
06/07/2018,9.99,6.262978723,9.291787379,13.05333333
13/07/2018,10.12,6.262978723,9.291787379,13.05333333
20/07/2018,10.2,6.262978723,9.291787379,13.05333333
27/07/2018,10.2,6.262978723,9.291787379,13.05333333
03/08/2018,10.6,6.262978723,9.291787379,13.05333333
10/08/2018,10.5,6.262978723,9.291787379,13.05333333
17/08/2018,10.3,6.262978723,9.291787379,13.05333333
24/08/2018,10.18,6.262978723,9.291787379,13.05333333
31/08/2018,10.54,6.262978723,9.291787379,13.05333333
07/09/2018,10.12,6.262978723,9.291787379,13.05333333
14/09/2018,10.14,6.262978723,9.291787379,13.05333333
21/09/2018,10.28,6.262978723,9.291787379,13.05333333
28/09/2018,9.85,6.262978723,9.291787379,13.05333333
05/10/2018,10,6.262978723,9.291787379,13.05333333
12/10/2018,10.38,6.262978723,9.291787379,13.05333333
19/10/2018,10.8,6.262978723,9.291787379,13.05333333
26/10/2018,10.84,6.262978723,9.291787379,13.05333333
31/10/2018,11.4,6.262978723,9.291787379,13.05333333
09/11/2018,10.96,6.262978723,9.291787379,13.05333333
16/11/2018,10.8,6.262978723,9.291787379,13.05333333
23/11/2018,10.4,6.262978723,9.291787379,13.05333333
29/11/2018,10.2,6.262978723,9.291787379,13.05333333
07/12/2018,10.2,6.262978723,9.291787379,13.05333333
14/12/2018,10.26,6.262978723,9.291787379,13.05333333
21/12/2018,10.52,6.262978723,9.291787379,13.05333333
28/12/2018,10.98,6.262978723,9.291787379,13.05333333
04/01/2019,11.2,6.262978723,9.291787379,13.05333333
11/01/2019,11.5,6.262978723,9.291787379,13.05333333
18/01/2019,11.76,6.262978723,9.291787379,13.05333333
25/01/2019,11.68,6.262978723,9.291787379,13.05333333
01/02/2019,11.7,6.262978723,9.291787379,13.05333333
08/02/2019,11.78,6.262978723,9.291787379,13.05333333
15/02/2019,11.66,6.262978723,9.291787379,13.05333333
22/02/2019,11.5,6.262978723,9.291787379,13.05333333
01/03/2019,11.16,6.262978723,9.291787379,13.05333333
08/03/2019,11.54,6.262978723,9.291787379,13.05333333
15/03/2019,11.5,6.262978723,9.291787379,13.05333333
22/03/2019,11.6,6.262978723,9.291787379,13.05333333
29/03/2019,11.24,6.262978723,9.291787379,13.05333333
05/04/2019,11.5,5.978297872,8.869433407,12.46
12/04/2019,11.6,5.978297872,8.869433407,12.46
17/04/2019,11.24,5.978297872,8.869433407,12.46
26/04/2019,10.74,5.978297872,8.869433407,12.46
03/05/2019,11.3,5.978297872,8.869433407,12.46
10/05/2019,10.76,5.978297872,8.869433407,12.46
17/05/2019,10.1,5.978297872,8.869433407,12.46
24/05/2019,9.96,5.978297872,8.869433407,12.46
31/05/2019,10.14,5.978297872,8.869433407,12.46
07/06/2019,10.2,5.978297872,8.869433407,12.46
14/06/2019,10.2,5.978297872,8.869433407,12.46
21/06/2019,10.4,5.978297872,8.869433407,12.46
28/06/2019,10.46,5.978297872,8.869433407,12.46
05/07/2019,10.5,5.551276596,8.235902449,11.57
12/07/2019,10.1,5.551276596,8.235902449,11.57
19/07/2019,10.36,5.551276596,8.235902449,11.57
26/07/2019,10.42,5.551276596,8.235902449,11.57
02/08/2019,10.2,5.551276596,8.235902449,11.57
09/08/2019,9.29,5.551276596,8.235902449,11.57
16/08/2019,9.14,5.551276596,8.235902449,11.57
23/08/2019,8.9,5.551276596,8.235902449,11.57
30/08/2019,9.17,5.551276596,8.235902449,11.57
06/09/2019,8.83,5.551276596,8.235902449,11.57
13/09/2019,9.13,5.551276596,8.235902449,11.57
20/09/2019,9.29,5.551276596,8.235902449,11.57
27/09/2019,8.95,5.551276596,8.235902449,11.57
04/10/2019,8.64,5.124255319,7.602371492,10.68
11/10/2019,8.58,5.124255319,7.602371492,10.68
18/10/2019,8.3,5.124255319,7.602371492,10.68
25/10/2019,8.65,5.124255319,7.602371492,10.68
31/10/2019,8.53,5.124255319,7.602371492,10.68
08/11/2019,8.78,5.124255319,7.602371492,10.68
15/11/2019,8.8,5.124255319,7.602371492,10.68
22/11/2019,8.74,5.124255319,7.602371492,10.68
29/11/2019,8.77,5.124255319,7.602371492,10.68
06/12/2019,8.48,5.124255319,7.602371492,10.68
13/12/2019,8.8,5.124255319,7.602371492,10.68
20/12/2019,9.3,5.124255319,7.602371492,10.68
27/12/2019,9.5,5.124255319,7.602371492,10.68
03/01/2020,9.6,4.697234043,6.968840534,9.79
10/01/2020,9.2,4.697234043,6.968840534,9.79
17/01/2020,9,4.697234043,6.968840534,9.79
24/01/2020,8.88,4.697234043,6.968840534,9.79
30/01/2020,9.05,4.697234043,6.968840534,9.79
07/02/2020,9,4.697234043,6.968840534,9.79
14/02/2020,8.6,4.697234043,6.968840534,9.79
21/02/2020,8.23,4.697234043,6.968840534,9.79
28/02/2020,7.22,4.697234043,6.968840534,9.79
06/03/2020,6.41,4.697234043,6.968840534,9.79
13/03/2020,5.1,4.697234043,6.968840534,9.79
20/03/2020,4.07,4.697234043,6.968840534,9.79
27/03/2020,4.8,4.697234043,6.968840534,9.79
03/04/2020,4.81,3.985531915,5.912955605,8.306666667
08/04/2020,5.05,3.985531915,5.912955605,8.306666667
17/04/2020,5.91,3.985531915,5.912955605,8.306666667
24/04/2020,5.5,3.985531915,5.912955605,8.306666667
30/04/2020,5.29,3.985531915,5.912955605,8.306666667
08/05/2020,5.19,3.985531915,5.912955605,8.306666667
15/05/2020,5.3,3.985531915,5.912955605,8.306666667
22/05/2020,5.07,3.985531915,5.912955605,8.306666667
29/05/2020,4.55,3.985531915,5.912955605,8.306666667
05/06/2020,5.45,3.985531915,5.912955605,8.306666667
11/06/2020,5.58,3.985531915,5.912955605,8.306666667
19/06/2020,4.9,3.985531915,5.912955605,8.306666667
26/06/2020,5.09,3.985531915,5.912955605,8.306666667
03/07/2020,5.1,3.843191489,5.701778619,8.01
10/07/2020,4.9,3.843191489,5.701778619,8.01
17/07/2020,4.72,3.843191489,5.701778619,8.01
24/07/2020,4.69,3.843191489,5.701778619,8.01
30/07/2020,4.61,3.843191489,5.701778619,8.01
07/08/2020,4.77,3.843191489,5.701778619,8.01
14/08/2020,4.97,3.843191489,5.701778619,8.01
20/08/2020,5.05,3.843191489,5.701778619,8.01
28/08/2020,4.6,3.843191489,5.701778619,8.01
04/09/2020,5.01,3.843191489,5.701778619,8.01
11/09/2020,5.46,3.843191489,5.701778619,8.01
18/09/2020,5.5,3.843191489,5.701778619,8.01
25/09/2020,5.7,3.843191489,5.701778619,8.01
02/10/2020,5.55,3.985531915,5.912955605,8.306666667
09/10/2020,5.45,3.985531915,5.912955605,8.306666667
16/10/2020,5.48,3.985531915,5.912955605,8.306666667
23/10/2020,5.95,3.985531915,5.912955605,8.306666667
30/10/2020,6.23,3.985531915,5.912955605,8.306666667
06/11/2020,6.54,3.985531915,5.912955605,8.306666667
13/11/2020,7.08,3.985531915,5.912955605,8.306666667
20/11/2020,7.28,3.985531915,5.912955605,8.306666667
27/11/2020,7.05,3.985531915,5.912955605,8.306666667
04/12/2020,7.15,3.985531915,5.912955605,8.306666667
11/12/2020,7.62,3.985531915,5.912955605,8.306666667
18/12/2020,7.46,3.985531915,5.912955605,8.306666667
23/12/2020,7.34,3.985531915,5.912955605,8.306666667
29/12/2020,7.7,3.985531915,5.912955605,8.306666667
08/01/2021,7.65,4.412553191,6.546486562,9.196666667
